match_id,team_id,team_name,team,win,total_kills,total_deaths,avg_gpm,avg_xpm,players,synergy_score,activity,recent_winrate
8788181520,9767998,Nova Pulse,dire,0,30,40,454.2,644.2,"[1749630639, 1750248703, 1750435217, 1750577069, 1750916329]",0.9158883083359671,3,0.3333333333333333
8788206422,9767998,Nova Pulse,radiant,1,37,22,495.4,693.8,"[1749630639, 1750248703, 1750435217, 1750577069, 1750916329]",0.95783137373023,4,0.25
8788206422,9425656,LSG,dire,0,22,37,416.0,593.4,"[397206052, 1621422877, 1621497616, 1621570409, 1622405666]",1.0575278407684165,5,0.4
8788225653,9593609,Nethercore,radiant,1,48,42,588.2,837.0,"[236214375, 878549965, 1029972951, 1291449666, 1712916118]",0.869583686600433,2,1.0
8788225653,8831040,Ghost Sheep,dire,0,42,48,567.4,853.6,"[319698413, 399588134, 917067055, 1251984026, 1811371866]",0.0,0,0.0
8788237094,9768002,Lunar Vibes,radiant,0,9,31,398.0,492.0,"[808766025, 1749799475, 1750299292, 1750510331, 1750623235]",1.0295836866004329,2,1.0
8788237094,9814269,Riftwalkers,dire,1,31,9,511.6,712.4,"[1902738528, 1902782463, 1902976475, 1903043745, 1903287666]",1.0295836866004329,2,1.0
8788265487,9814269,Riftwalkers,radiant,1,36,27,515.6,791.0,"[1902738528, 1902782463, 1902976475, 1903043745, 1903287666]",1.1158883083359672,3,1.0
8788265487,9768002,Lunar Vibes,dire,0,27,37,466.0,663.8,"[808766025, 1749799475, 1750299292, 1750510331, 1750623235]",1.015888308335967,3,0.6666666666666666
8788269725,8831040,Ghost Sheep,radiant,1,44,35,497.2,755.6,"[319698413, 399588134, 917067055, 1251984026, 1811371866]",0.6079441541679836,1,0.0
8788269725,9593609,Nethercore,dire,0,35,45,467.2,668.4,"[236214375, 878549965, 1029972951, 1291449666, 1712916118]",1.0092216416693005,3,1.0
